Name,Category,Price,גובה,השקיה,שימושים,Tag,Description,Stock,Thumbnail,תמונה,,
רגלית אפריקנית משתפלת,סוקולנטים,,עד 30 סמ',מועטה,"עציץ, גינה","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/837go9-20240328_08192%20%20%20%D7%A8%D7%92%D7%9C%D7%99%D7%AA%20%D7%90%D7%A4%D7%A8%D7%99%D7%A7%D7%A0%D7%99%D7%AA%20%D7%9E%D7%A9%D7%AA%D7%A4%D7%9C%D7%AA%20%D7%90.jpg?versionId=nU6QI9tFk9PUzFGi5.ebLV3lYOm_FZqn,,,
סטפליה,סוקולנטים,,עד 15 סמ',"בקיץ פעם בשבוע, בחורף לא להשקות",עציץ,"שמש, הצללה חלקית",,1,https://cdn.store.link/products/galednp/uy2c85-20240520_193533%20%D7%A1%D7%98%D7%A4%D7%9C%D7%99%D7%94%20%D7%90.jpg?versionId=QMVHk01Dnb86MS..aHqivaCiBg.EjX9.,,,
רגלית אפריקנית זקופה,סוקולנטים,,עד 1 מ',מועטה,"עציץ, גינה","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/rva2p0-%D7%A8%D7%92%D7%9C%D7%99%D7%AA%20%D7%90%D7%A4%D7%A8%D7%99%D7%A7%D7%A0%D7%99%D7%AA%20%D7%96%D7%A7%D7%95%D7%A4%D7%94%20%D7%901.jpg?versionId=LQ6rDJERxlqnnjtZjmCJQmdBP.3NanZq,,,
סנסיווריה מיני,סוקולנטים,,עד 25 סמ',מועטה,צמח עציץ,צל,,0,https://cdn.store.link/products/galednp/bev-mv-%D7%A1%D7%A0%D7%A1%D7%99%D7%95%D7%95%D7%A8%D7%99%D7%94%20%D7%A2%D7%9C%D7%99%D7%9D%20%D7%9E%D7%A2%D7%95%D7%92%D7%9C%D7%99%D7%9D%20%D7%90.jpg?versionId=Z.sQTgYkyvcCH0D1mT6tV3v6gO6UB1We,,,
סנסיווריה פס צהוב ננסית,סוקולנטים,,עד 25 סמ',מועטה,צמח עציץ,צל,,0,https://cdn.store.link/products/galednp/4b0-tu-%D7%A1%D7%A0%D7%A1%D7%99%D7%95%D7%95%D7%A8%D7%99%D7%94%20%D7%9E%D7%92%D7%95%D7%95%D7%A0%D7%AA%20%D7%90.jpg?versionId=tdXiMesPqB5nEY_S1UCqgumeLfIk.a4g,,,
קרסולה מרובעת,סוקולנטים,,עד 30 סמ',מועטה,צמח עציץ,,,0,https://cdn.store.link/products/galednp/877kff-%D7%A7%D7%A8%D7%A1%D7%95%D7%9C%D7%94%20%D7%9E%D7%A8%D7%95%D7%91%D7%A2%D7%AA%20%D7%90.jpg?versionId=CqCycny8U5sw5_IHJ8IufcLKAvQn5DAc,,,
ניצחה צוריתית,סוקולנטים,,עד 30 סמ',מועטה,צמח עציץ,,,,https://cdn.store.link/products/galednp/dej4t6-%D7%A0%D7%99%D7%A6%D7%97%D7%94%20%D7%A6%D7%95%D7%A8%D7%99%D7%AA%D7%99%D7%AA%20%D7%90.jpg?versionId=AfU.aTiuvjFWeI9NGmJYiXuOOLohdypv,,,
זיגוקקטוס,סוקולנטים,,עד 50 סמ',בינונית,צמח עציץ,הצללה חלקית,,0,https://cdn.store.link/products/galednp/wyhdkq-%D7%96%D7%99%D7%92%D7%95%D7%A7%D7%A7%D7%98%D7%95%D7%A1img_20210109_153845%20%D7%90.jpg?versionId=YWmmKxePf2C0ijLTEDVzCHzbZmCSRIUy,,,
סנסיווריה גלילית,סוקולנטים,,עד 80 סמ',מועטה,צמח עציץ,הצללה,,0,https://cdn.store.link/products/galednp/t5o3rp-%D7%A1%D7%A0%D7%A1%D7%99%D7%95%D7%95%D7%A8%D7%99%D7%94%20%D7%92%D7%9C%D7%99%D7%9C%D7%99%D7%AA%203img_20211214_141523%20%D7%90.jpg?versionId=ylt5nE.G26rCnXZmmmWnTrMI0Vzk5Y0H,,,
פנדוראה יסמינית,מטפסים לגינה,,"מטפס נכרך, ענפים עד 7מ'",בינונית,"גדרות, פרגולות, כיסוי מסלעות",שמש,,3,https://cdn.store.link/products/galednp/m3je5f-%D7%A4%D7%A0%D7%93%D7%95%D7%A8%D7%90%D7%94%20%D7%99%D7%A1%D7%9E%D7%99%D7%A0%D7%99%D7%AA%20%D7%90.jpg?versionId=oR6OmPdfGeS4kJz3_DCaE1yq5HIIM4vh,,,
תונברגיה סוזי פרח כתום ,מטפסים לגינה,,"ענפים עד 5 מ', מטפס נכרך",מרובה,"גדרות, פרגולות, כיסוי מסלעות",שמש,,0,https://cdn.store.link/products/galednp/r0xz4a-%D7%AA%D7%95%D7%A0%D7%91%D7%A8%D7%92%D7%99%D7%94%20%D7%9E%D7%9B%D7%95%D7%A0%D7%A4%D7%AA%20%D7%A1%D7%95%D7%96%D7%99%20%D7%A9%D7%97%D7%95%D7%A8%D7%AA%20%D7%A2%D7%99%D7%9F%20%D7%A4%D7%A8%D7%97%20%D7%9B%D7%AA%D7%95%D7%9D%20%D7%9B%D7%94%D7%94.jpg?versionId=40wiMGsjsl_9hBOsj89EwP26kQHEDRWk,,,
פפרומיה מגוונת,צמחי בית ומרפסת,,עד 40 סמ',בינונית - מועטה,צמח עציץ,מקום מואר ,,0,https://cdn.store.link/products/galednp/mlw3nk-20240907_114240%20%D7%A4%D7%A4%D7%A8%D7%95%D7%9E%D7%99%D7%94%20%D7%92%27%D7%9C%D7%99%20%D7%90.jpg?versionId=fqWj1Svx9ITfO57aZq3fieeV0Zs_62VV,,,
צירתנתוס מקני ,רב שנתיים,,עד 40 סמ',בינונית - מועטה,"עציץ, גינה, מסלעה",הצללה חלקית,,0,https://cdn.store.link/products/galednp/2gvik6-uozoa_zu_uu__m%5B1%5D%D7%A6%D7%99%D7%A8%D7%AA%D7%A8%D7%A0%D7%AA%D7%95%D7%A1%20%D7%9E%D7%A7%D7%A8%D7%99.jpg?versionId=64iaQJ8adfqPR7oHQwCX7APe7.JpjJVb,,,
גרניום צרפתי ורוד,רב שנתיים,,עד 40 סמ',בינונית,"עציץ, מיכל","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/ci23qv-%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%A6%D7%A8%D7%A4%D7%AA%D7%99%2021.4.18%20628.jpg?versionId=BOUm_nYNSOXOdFPYy5DMs2inhTmiEQq5,,,
חלבלוב קוצני גדול,סוקולנטים,,עד 60 סמ',בינונית עד מועטה,גינה,"שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/u2ag98-dscn2594%20%D7%97%D7%9C%D7%91%D7%9C%D7%95%D7%91%20%D7%A7%D7%95%D7%A6%D7%A0%D7%99%20%D7%92%D7%93%D7%95%D7%9C%20%D7%A2%D7%9C%20%D7%A9%D7%9C%D7%92%20%D7%90.jpg?versionId=h64zNljmPLsTpRLfLplEWWhmkx1klqje,,,
רודבקיה שעירה,רב שנתיים,,עד 70 סמ',בינונית,גיגנה,"שמש, הצללה חלקית",,10,https://cdn.store.link/products/galednp/dsj-35-%D7%90%20%D7%A8%D7%95%D7%93%D7%91%D7%A7%D7%99%D7%94%20%D7%A1%D7%A2%D7%99%D7%A8%D7%9420240518%20_145538.jpg?versionId=_qtBngpvJRtYblYaF5RO5yroeoTXKMVZ,,,
אמנון ותמר תכלת,עונתיים של חורף - אביב,,עד 20 סמ',בינונית עד רבה,"גינה. סלסילה תליה, עדנית","שמש, הצללה חלקית",,3,https://cdn.store.link/products/galednp/bcxjev-%D7%90%D7%9E%D7%A0%D7%95%D7%9F%20%D7%95%D7%AA%D7%9E%D7%A8%20%D7%AA%D7%9B%D7%9C%D7%AA%20%D7%90.jpg?versionId=Gt1QoVcNFHl3o2Ycv7jArF3gB0e6YRIg,,,
שלהב דרומונד,עונתיים של חורף - אביב,,עד 30 סמ',בינונית ,"גינה, עדנית",שמש,,,https://cdn.store.link/products/galednp/fbpuqu-%D7%A9%D7%9C%D7%94%D7%91%20%D7%93%D7%A8%D7%95%D7%9E%D7%95%D7%A0%D7%93%20%D7%90.jpg?versionId=phfOLDB69.sdlISQyWT4YnCDIqXeY_dG,,,
פעמונית בינונית,עונתיים של חורף - אביב,,עד 60 סמ',בינונית ,"גינה, עדנית","שמש, הצללה חלקית",,,https://cdn.store.link/products/galednp/8a4o85-%D7%A4%D7%A2%D7%9E%D7%95%D7%A0%D7%99%D7%AA%20%D7%91%D7%99%D7%A0%D7%95%D7%A0%D7%99%D7%AA%20%D7%90.jpg?versionId=yCwNNUDgh8UbNaE9weFS0CkdLI6muBmH,,,
שסיענית מנוצה,עונתיים של חורף - אביב,,עד 40 סמ'  משתפל,בינונית עד רבה,"עציצים תלוים, עדניות","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/f74ydn-%D7%A9%D7%A1%D7%99%D7%A2%D7%A0%D7%99%D7%AA%20%D7%90%D7%91.jpg?versionId=IInTgq6TKW6AXTPLP71c9EDDkbVwHtmy,,,
אמנון ותמר נשפח,עונתיים של חורף - אביב,,עד 20 סמ',בינונית,"גינה, אדנית","שמש, הצללה חלקית",,,https://cdn.store.link/products/galednp/yxs2ru-%D7%90%D7%9E%D7%A0%D7%95%D7%9F%20%D7%95%D7%AA%D7%9E%D7%A8%20%D7%A0%D7%A9%D7%A4%D7%97%20%D7%90.jpg?versionId=l2E7z02W30dy0JyE9gZSZamFCuCfDmoS,,,
אמנון ותמר רוקוקו,עונתיים של חורף - אביב,,עד 30  סמ',בינונית ,"גינה, אדנית","שמש, הצללה חלקית",,,https://cdn.store.link/products/galednp/jq6chh-%D7%90%D7%9E%D7%A0%D7%95%D7%9F%20%D7%95%D7%AA%D7%9E%D7%A8%20%D7%A8%D7%95%D7%A7%D7%95%D7%A7%D7%95%20%D7%90.jpg?versionId=wpw3B7UBWdSBPlww8POGUvef9pBVFv1L,,,
בקופה (סוטרה) לבובה,רב שנתיים,,עד 20 סמ'  משתרע,בינונית,"גהנה. מסלעה, סלסילה תלויה, עדנית","שמש, הצללה חלקית",,,https://cdn.store.link/products/galednp/--taqr-%D7%91%D7%A7%D7%95%D7%A4%D7%94%20%D7%90.jpg?versionId=z1iBM93.O5hLzLlSKlidYya9ewbWy5aR,,,
ציפורני חתול,עונתיים של חורף - אביב,,עד 40 סמ',בינונית,"גינה, עדנית",שמש,,,https://cdn.store.link/products/galednp/o4jvxz-img_20211122_144615%D7%A6%D7%99%D7%A4%D7%95%D7%A8%D7%A0%D7%99%20%D7%97%D7%AA%D7%95%D7%9C%20%D7%90.jpg?versionId=sfx0wZ6Tt3QBMp9lRBPZPIjYWh2iZFCL,,,
לילנית רב-גונית,,,,,,,,, זקוף,,,
טגטס קילימנג'רו,עונתיים של קיץ,,עד 40 סמ',בינונית,ערוגות,שמש,,,https://cdn.store.link/products/galednp/wldkkd-%D7%98%D7%92%D7%98%D7%A1%20%D7%9C%D7%91%D7%9F%20%D7%A7%D7%99%D7%9C%D7%99%D7%9E%D7%A0%D7%92%27%D7%A8%D7%95%20%D7%90.jpg?versionId=BvFSrtlBygBEYY7VH6j3MpO_CWJ9vxyH,,,
קוסמוס פרח מלא,עונתיים של קיץ,,עד 40 סמ',בינונית,ערוגות,שמש,,,https://cdn.store.link/products/galednp/etoykb-%D7%A7%D7%95%D7%A1%D7%9E%D7%95%D7%A1%20%D7%A4%D7%A8%D7%97%20%D7%9E%D7%9C%D7%90%20%D7%90.jpg?versionId=wx9OBiJSJqucXVzXPF1CvGyWkxaiJQPz,,,
ציניה ננסית,עונתיים של קיץ,,עד 30 סמ',בינונית סדירה,"ערוגה, מיכל",שמש,,,https://cdn.store.link/products/galednp/gyd4qy-%D7%A6%D7%99%D7%A0%D7%99%D7%94%20%D7%A0%D7%A0%D7%A1%D7%99%D7%AA%20%D7%90.jpg?versionId=cRRhszdx6FhW55U1_C8RsFe8r0pedjNX,,,
ציניה אלגנס,עונתיים של קיץ,,עד 60 סמ',בינונית סדירה,"ערוגה, קטיף",שמש,,,https://cdn.store.link/products/galednp/ku4jgh-%D7%A6%D7%99%D7%A0%D7%99%D7%94%20%D7%91%D7%95%D7%A8%D7%A0%D7%95%D7%A1%20%D7%90.jpg?versionId=4I926G3_BWs7tMd_rW6GB3sC3JEzvaxh,,,
חרצית שיחית לבנה,רב שנתיים,,עד 60 סמ',בינונית עד מרובה,גינה,"שמש, צל חלקית",,0,https://cdn.store.link/products/galednp/-wni9c-20180423_182900%20%D7%97%D7%A8%D7%A6%D7%99%D7%AA%20%D7%A9%D7%99%D7%97%D7%99%D7%AA%20%D7%90.jpg?versionId=9RCKDxg28fU3Y6CewAa5a.IodIz0jhoi,,,
גרניום צרפתי,רב שנתיים,,"עד 40 סמ', משתפל",בינונית,"סלסילה תלויה, עדנית",שמש ,,1,https://cdn.store.link/products/galednp/cvirtv-%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%A6%D7%A8%D7%A4%D7%AA%D7%99%20%D7%90.jpg?versionId=dJpLtM5WUvieyFllJQuL7dhtLu7stRc4,,,
ביצן רובי ננסי,רב שנתיים,,עד 30 סמ',בינונית,"גינה, עדנית ",שמש,,,https://cdn.store.link/products/galednp/hc7300-%D7%91%D7%99%D7%A6%D7%9F%20%D7%A8%D7%95%D7%91%D7%99%20%D7%A0%D7%A0%D7%A1%D7%99%20%D7%90.jpg?versionId=TniSOvMPDC.GoNI8nIMZ7ghrSo.Y15mq,,,
גומא תרבותי,רב שנתיים,,עד 1 מ',בינונית עד מרובה,"גינה, עדנית ","שמש, צל חלקי",,,https://cdn.store.link/products/galednp/s0q7dv-%D7%92%D7%95%D7%9E%D7%90%20%D7%AA%D7%A8%D7%91%D7%95%D7%AA%D7%99.jpg?versionId=RDgGK6mVyx9KSAGLOUVpXdCi5JFeLopc,,,
בידנס ורוד,רב שנתיים,,עד 50 סמ',בינונית,"גינה, עדנית ","שמש, צל חלקי",,,https://cdn.store.link/products/galednp/otjmvx-%D7%91%D7%99%D7%93%D7%A0%D7%A1%20%D7%95%D7%A8%D7%95%D7%93%20%D7%90.jpg?versionId=6ZAoRY1rbY.CoAfsmBdRo8nAGCkDcQ.e,,,
בידנס כתום,רב שנתיים,,עד 30 סמ',בינונית,"גינה, עציצים, עדניות",שמש,,0,https://cdn.store.link/products/galednp/by3793-%D7%91%D7%99%D7%93%D7%A0%D7%A1%20%D7%9B%D7%AA%D7%95%D7%9D%20%D7%90.jpg?versionId=Faae3hMhwaTHOSqy7y8liu_GrvTUr5dX,,,
בידנס צהוב,רב שנתיים,,עד 40 סמ',בינונית,"גינה, עציצים, עדניות",שמש,,,https://cdn.store.link/products/galednp/lvsk6y-%D7%91%D7%99%D7%93%D7%A0%D7%A1%20%D7%A6%D7%94%D7%95%D7%91%20%D7%90.jpg?versionId=HtbA2LhN1ioggo8PgsW_megasbMLAaxG,,,
גיירדיה ממולענת,רב שנתיים,,עד 60 סמ',בינונית,גינה ,שמש,,,https://cdn.store.link/products/galednp/8e75ji-%D7%92%D7%99%D7%99%D7%A8%D7%93%D7%99%D7%94%20%D7%9E%D7%9E%D7%95%D7%9C%D7%A2%D7%A0%D7%AA.jpg?versionId=hHpNptgGRgzpPcf3F41TLUVefbkyPkAM,,,
גרברה עדינה,רב שנתיים,,עד 40 סמ',מרובה,"גינה, עציץ, פרח קטיף",שמש,,,https://cdn.store.link/products/galednp/pgvfeb-%D7%92%D7%A8%D7%91%D7%A8%D7%94%20%D7%90%D7%90.jpg?versionId=zXeRHkR4AFC7EFPVIrVwrAvEgJqv1.1v,,,
גרניום זקוף ורוד,רב שנתיים,,עד 60 סמ',בינונית,גינה,"שמש, הצללה קלה",,4,https://cdn.store.link/products/galednp/4sab-n-%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%95%D7%A8%D7%95%D7%93%20%D7%A9%D7%9C%D7%99.jpg?versionId=.N7aBJV1X_KJPqEL9wkxcwt9FLsX.Cf.,, ,
גרניום זקוף ורוד אוורירי,רב שנתיים,,עד 50 סמ',בינונית,"גינה, עדנית","שמש, הצללה קלה",,0,https://cdn.store.link/products/galednp/uyxq8s-%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%96%D7%A7%D7%95%D7%A3%20%D7%9E%D7%96%D7%A8%D7%A2%D7%99%D7%9D%20%D7%90.jpg?versionId=lWMdnBXZ4klMRWoqdhCtXdRGDcH3VSws,,,
סקרלט,רב שנתיים,,עד 60 סמ',בינונית,"ערוגה, קטיף",שמש,,,https://cdn.store.link/products/galednp/8xjjlf-%D7%A1%D7%A7%D7%A8%D7%9C%D7%98%20%D7%90.jpg?versionId=BM.GVtOdhaYIqFeItpPuuij1tZTH0YGb,,,
חרצית שיחית אדומה,רב שנתיים,,עד 40 סמ',בינונית,"גינה, עדנית","שמש, הצללה חלקית",,,https://cdn.store.link/products/galednp/0pqgpb-%D7%97%D7%A8%D7%A6%D7%99%D7%AA%20%D7%A9%D7%99%D7%97%D7%99%D7%AA%20%D7%90%D7%93%D7%95%D7%9E%D7%94%20%D7%90.jpg?versionId=BNrsciro4qfo8M.RvhA3.6rocKR_3rt0,,,
קוראופסיס גדול פרחים מכלוא,רב שנתיים,,עד 40 סמ',בינונית,"גינה, עדנית",שמש,,,https://cdn.store.link/products/galednp/xp4uc1-%D7%A7%D7%95%D7%A8%D7%90%D7%95%D7%A4%D7%A1%D7%99%D7%A1%20%D7%92%D7%93%D7%95%D7%9C-%D7%A4%D7%A8%D7%97%D7%99%D7%9D%20%D7%90.jpg?versionId=1cGNdr1LBle.JWSeNtyEToEGmuvziJaS,,,
לבנדר קנרי,רב שנתיים,,עד 90 סמ',בינונית,ערוגה,"שמש, הצללה חלקית",,4,https://cdn.store.link/products/galednp/1ct4wd-%D7%90%20%D7%9C%D7%91%D7%A0%D7%93%D7%A8%20%D7%A7%D7%A0%D7%90%D7%A8%D7%99.jpg?versionId=qr.gDlyG9bSZn7Vm6G_dmaN0yN3JI7dX,,,
גרניום זקוף רוסו,רב שנתיים,,עד 40 סמ',בינונית,"ערוגה, עציץ, עדנית","שמש, צל חלקי",,,https://cdn.store.link/products/galednp/ydpbst-20240926_171807%20%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%9E%D7%96%D7%A8%D7%A2%D7%99%D7%9D%20%D7%90.jpg?versionId=EKfefgCY2hq64FtcSUqzAUsR9K7XvN_3,,,
בידנס לבן גזור - עלים,רב שנתיים,,עד 30 סמ',בינונית,"ערוגות, עדניות, סלסלי תליה",שמש,,14,https://cdn.store.link/products/galednp/utlzic-%D7%90%20%D7%93%D7%95-%D7%A9%D7%9F%20%D7%9C%D7%91%D7%9F%20%D7%92%D7%96%D7%95%D7%A8%20%D7%A2%D7%9C%D7%99%D7%9D%2020240528_120950.jpg?versionId=cg_F.24WqasftkxHUqXoKPlTmKRx1bd5,,,
אריגרון קרווינסקי,רב שנתיים,,עד 30 סמ' מסתרע ,בינונית,"מסלעה, גינה, כיסוי שטח","שמש, צל חלקי",,0,https://cdn.store.link/products/galednp/o0mze5-img_20210410_171900%20%20%D7%90%D7%A8%D7%99%D7%92%D7%A8%D7%95%D7%9F%20%D7%A7%D7%A8%D7%95%D7%95%D7%99%D7%A0%D7%A1%D7%A7%D7%99%20%D7%90%20.jpg?versionId=xpzGuxRhLPULJsV6KLwKitl2XJOYvlU2,,,
גולנית,רב שנתיים,,עד 60 סמ',בינונית,"גינה, עדנית",שמש,,,https://cdn.store.link/products/galednp/dimxdy-%D7%90.jpg?versionId=CjcK1nRCI.qlHeHTIQoLPTPgohL_HbhO,,,
פנטס,רב שנתיים,,,,,,,,https://cdn.store.link/products/galednp/xicueu-%D7%A4%D7%A0%D7%98%D7%A1%20%D7%90.jpg?versionId=tK.Ag9v.ygf2YeDLuBDzfnPTThopf3Eh,,,
ניצנית אדומה,,,,,ק,,,,https://cdn.store.link/products/galednp/0jkxeh-%D7%A0%D7%99%D7%A6%D7%A0%D7%99%D7%AA%20%D7%90%D7%93%D7%95%D7%9E%D7%94%20%D7%90%D7%90.jpg?versionId=sL.SH790EygREvtQ9itG3fwI_DmujOfK,,,
חסה עגולה,שתילי ירקות אורגניים,,עד 30 סמ',בינונית,גינת ירקות,שמש,,4,https://cdn.store.link/products/galednp/dhim8w-%D7%90%20%D7%97%D7%A1%D7%94%20%D7%A2%D7%92%D7%95%D7%9C%D7%94.jpg?versionId=CwNLd5poEn1z4xaCu._6wgTcmAF1A3CJ,,,
חסה מיקס צבעים,שתילי ירקות אורגניים,,עד 30 סמ',בינונית,גינת ירקות,שמש,,20,https://cdn.store.link/products/galednp/jbidai-%D7%97%D7%A1%D7%94%20%D7%A2%D7%9C%D7%99%D7%9D%20%D7%9E%D7%99%D7%A7%D7%A1%20%D7%96%D7%A0%D7%99%D7%9D%20%D7%90.jpg?versionId=IszH2VHM2gENtL_KJ7wZpo86uieuAd6b,,,
כרוב סיני,שתילי ירקות אורגניים,,עד 30 סמ',בינונית,גינת ירקות,שמש,,0,https://cdn.store.link/products/galednp/2u0x3o-%D7%9B%D7%A8%D7%95%D7%91%20%D7%A1%D7%99%D7%A0%D7%99%20%D7%90.jpg?versionId=WXSoXFb5ditPhKcnOa.Nqu6YsRy2nKSJ,,,
גרגיר הגינה,שתילי ירקות אורגניים,,,,,,,0,https://cdn.store.link/products/galednp/ocbb3z-%D7%90%20%D7%92%D7%A8%D7%92%D7%99%D7%A8.jpg?versionId=FwVCKW7SYGZ_q7Enl2Yh.4w4AHSqBt.Q,,,
גרגיר נחל,שתילי ירקות אורגניים,,עד 10 סמ',רבה,גינת ירקות,שמש,,5,https://cdn.store.link/products/galednp/90h3h9-%D7%90%20%D7%92%D7%A8%D7%92%D7%99%D7%A8%20%D7%94%D7%A0%D7%97%D7%9C.jpg?versionId=uypt0Tr1cpFpji6uJ.CNgOiMsh3zWTbB,,,
מלפפונים גינה,שתילי ירקות אורגניים,,1 מ',בינונית עד רבה,גינת ירקות,שמש,,2,https://cdn.store.link/products/galednp/hgdmc2-%D7%9E%D7%9C%D7%A4%D7%A4%D7%95%D7%9F%20.png?versionId=AbSSrCyzFxaudTYC4S2m5I5W56gxlG5O,,,
עגבניה צ'רי,שתילי ירקות אורגניים,,עד 50 סמ',בינונית עד רבה,גינת ירקות,שמש,,12,https://cdn.store.link/products/galednp/ukwgqk-%D7%A2%D7%92%D7%91%D7%A0%D7%99%D7%95%D7%AA%20%D7%A6%27%D7%A8%D7%99%20%D7%AA%D7%A2%D7%A8%D7%95%D7%91%D7%AA%20%D7%96%D7%A0%D7%99%D7%9D%20%D7%90.jpg?versionId=4oDoVc69c0YcblfGBqgSVkODv8DHh6Wh,,,
עגבניות לגידול בעציצים,שתילי ירקות אורגניים,,עד 50 סמ',בינונית עד רבה,"עציצים, עדניות ",שמש,,15,https://cdn.store.link/products/galednp/-q3fyw-%D7%A2%D7%92%D7%91%D7%A0%D7%99%D7%95%D7%AA%20%D7%9C%D7%A2%D7%A6%D7%99%D7%A6%D7%99%D7%9D%20%D7%90.jpg?versionId=UhmQNdRivo5WovdECWy3s0iVS.w7.OS6,,,
בזיליק פורפורה,תבלינים,,,,,,,,https://cdn.store.link/products/galednp/sy3dxj-%D7%91%D7%96%D7%99%D7%9C%D7%99%D7%A7%D7%95%D7%9D%20%D7%A1%D7%92%D7%95%D7%9C%20%D7%90.jpg?versionId=LqKIRx7pZKaQ0wPO9qxYab1Ob7Hgn51V,,,
פילפל נוי חריף,תבלינים,,עד 30 סמ',בינונית,גידול בעציץ,שמש,,,https://cdn.store.link/products/galednp/hcstn--%D7%A4%D7%99%D7%9C%D7%A4%D7%9C%20%D7%A0%D7%95%D7%99%20%D7%97%D7%A8%D7%99%D7%A3%20%D7%90.jpg?versionId=q0xGFk0h4UXNokVLsmO6rZ10BYMZ8fJp,,,
לנטנה כתומה,בני שיחים,,עד 40 סמ' מסתרע,בינונית,"כיסוי שטח, מסלעה",שמש,,,https://cdn.store.link/products/galednp/dq0de2-%D7%9C%D7%A0%D7%98%D7%A0%D7%94%20%D7%9B%D7%AA%D7%95%D7%9E%D7%94%20%D7%90.jpg?versionId=c8RmnLab0OdYKYuS1FdH0Qyq4wUaQFXl,,,
ורד אייסברג,ורדים,,עד 1.5 מ',בינונית,גינה,שמש,,,https://cdn.store.link/products/galednp/tlwu49-%D7%90%D7%99%D7%A1%D7%91%D7%A8%D7%92%20%D7%90.jpg?versionId=SLD6MRNuTcxgx0EaeyCpXHFEktzOR4PC,,,
ורד ג'סט ג'וי,ורדים,,0.8 - 1.5 מ' ,בינונית,גינה,שמש,,,https://cdn.store.link/products/galednp/g0i4v6-%D7%95%D7%A8%D7%93%20%D7%A1%D7%9C%D7%9E%D7%95%D7%9F%20%D7%90%D7%90.jpg?versionId=vQrQm2q8sZXyUu3nGtrYYlLthNtzUg9q,,,
ורד אטרנה,ורדים,,עד 60 סמ',בינונית,גינה,שמש,,,https://cdn.store.link/products/galednp/ev5q-8-%D7%95%D7%A8%D7%93%20%D7%A9%D7%9C%D7%99%20%D7%90.jpg?versionId=JY.OZ3L.BCC.98ewMODipoSZZaaptc.q,,,
ורד,ורדים,,עד 50 סמ',בינונית,גינה,שמש,,,https://cdn.store.link/products/galednp/ropz6l-%D7%A9%D7%9B%D7%95%D7%A0%D7%AA%20%D7%94%D7%93%D7%91%D7%95%D7%A8%D7%99%D7%9D%20%D7%90.jpg?versionId=3CAPjr7wpgFhGNYOAuoYzKmGR9.uHMsY,,,
,,,,,,,,,https://cdn.store.link/products/galednp/e44-mp-%D7%90%D7%9C%D7%9E%D7%A0%D7%93%D7%94%20%20%D7%95%D7%A8%D7%95%D7%93%D7%9420240518_185625%20%D7%90.jpg?versionId=MZHrJcX7m0gTDEN.z0BIx5Ek.pz5LD2U,,,
ויסטריה סינית,,,,,,,,,https://cdn.store.link/products/galednp/u418gl-%D7%95%D7%99%D7%A1%D7%98%D7%A8%D7%99%D7%94%20%D7%9C%D7%91%D7%A0%D7%94.jpg?versionId=x37X9a4mBCHN3pHR.hZpV7a7MzEEXdpk,,,
,,,,,,,,,https://cdn.store.link/products/galednp/wo-a2u-%D7%A1%D7%98%D7%A4%D7%A0%D7%95%D7%98%D7%99%D7%A1%20%D7%A8%D7%91-%D7%A4%D7%A8%D7%97%D7%99%D7%9D%20%D7%90.jpg?versionId=bTZL4kY3KTQFaYZdV1WdXvYMz.xLkcVn,,,
רקפת תרבותית,צמחי בית ומרפסת,,עד 40 סמ',רבה סדירה,צמח עציץ,הצללה ,,0,https://cdn.store.link/products/galednp/lchyda-%D7%A8%D7%A7%D7%A4%D7%AA%20%D7%AA%D7%A8%D7%91%D7%95%D7%AA%D7%99%D7%AA%20%D7%90.jpg?versionId=Bq18cMsv4.wWru_qEpZGdNchZcdgmRJp,,,
גרניום צרפתי כתום,רב שנתיים,,30 סמ',בינונית סדירה,"גינה,עדנית, סלסילה תלויה","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/3djsml-%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%A6%D7%A8%D7%A4%D7%AA%D7%99%20%20%20%D7%90%20%20%D7%9B%D7%AA%D7%95%D7%9D.jpg?versionId=MLvmKqvaq44D5MlXgxct5YGSz6DzGW07,,,
שסיענית מנוצה גבוה,עונתיים של חורף - אביב,,עד 60 סמ',בינונית עד רבה,"גינה, עדנית","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/x6yjj1-%D7%A9%D7%A1%D7%99%D7%A2%D7%A0%D7%99%D7%AA%20%D7%92%D7%91%D7%95%D7%94%20%D7%90.jpg?versionId=eUaqnOqfq08Knvw7_TrwDXQ8EHsAVQYu,,,
