Name,Category,Price,גובה,השקיה,שימושים,Tag,Description,Stock,Thumbnail,תמונה,,
פוטוס  זהוב,צמחי בית ומרפסת,,צמח נשפך,"בינונית עד מועטה, בכל שהמקום חשוך, להשקות פחות","עציצים, קערות תליה, אדניות","צל, מקום  חשוך",,0,https://cdn.store.link/products/galednp/0cruj0-%D7%A4%D7%95%D7%98%D7%95%D7%A1%20%D7%9E%D7%92%D7%95%D7%95%D7%9F%20%D7%90.jpg?versionId=fXGu9n0EVnfCkfj0TkzmXV7001DTH92I,,,
בגוניה רקס,צמחי בית ומרפסת,,עד 50 סמ',בינונית סדירה,צמח עציץ,מקום מואר ללא שמש ישירה,,0,https://cdn.store.link/products/galednp/3vn9mk-img_20210313_150728%D7%91%D7%99%D7%92%D7%95%D7%A0%D7%99%D7%94%20%D7%A8%D7%A7%D7%A1.jpg?versionId=2vlH5_ATBkZkHS1Y_qCrX22JA9_KcCeF,,,
אכמיאה,צמחי בית ומרפסת,,עד 80סמ',בינונית עד מועטה,צמח עציץ,"מקום מואר בבית, צל בחוץ",,0,https://cdn.store.link/products/galednp/15nw8s-20240708_140725%D7%90%D7%9B%D7%9E%D7%99%D7%90%D7%94.jpg?versionId=T3Z4dERvhI2Gww0MSbOhoLmU47enIca6,,,
פוטוס לבן,צמחי בית ומרפסת,,ענפים עד 1 מ,בינונית,צמח עציץ,מקום מואר צל חלקי ללא שמש ישירה,,0,https://cdn.store.link/products/galednp/fp5qay-img_20180913_181140%20%281%29%20%D7%A4%D7%95%D7%98%D7%95%D7%A1%20%D7%9C%D7%91%D7%9F.jpg?versionId=m5mYduIx4TWt_u.soM1_Vk124GQ2du3Z,,, 
בגוניה שחורה,צמחי בית ומרפסת,,עד 50 סמ',בינונית,צמח עציץ,"מקום מואר, צל חלקי",,0,https://cdn.store.link/products/galednp/g4hwne-20230405_152508%20%D7%91%D7%92%D7%95%D7%A0%D7%99%D7%94%20%D7%A8%D7%A7%D7%A1%20%D7%A9%D7%97%D7%95%D7%A8%D7%94%20%D7%90.jpg?versionId=BFobD6p6tXqsdT4WS8QF_V4xyjTZxb3g,,,
יהודי נודד שעיר,צמחי בית ומרפסת,,עד 40 סמ',בינונית עד מועטה,"עציצים, מיכלים, כיסוי שטח",שמש עד צל,,1,https://cdn.store.link/products/galednp/ihf8cr-%D7%99%D7%94%D7%95%D7%93%D7%99%20%D7%A0%D7%95%D7%93%D7%93%20%D7%A9%D7%A2%D7%99%D7%A8%2021.4.18%20634.jpg?versionId=fdeW9T3rXAc0zvzonGis_La5CyuPRiWK,,,
בגוניה רכה,צמחי בית ומרפסת,,40,בינונית,צמח עציץ ,צל חלקי ומלא,,0,https://cdn.store.link/products/galednp/lwdiqp-%D7%91%D7%92%D7%95%D7%A0%D7%99%D7%94%20%D7%A8%D7%9B%D7%94.jpg?versionId=2YiMbRAI0.5jEDPM7U5N2tpoDCEZdkUx,,,
ליפופית הבטטה עלה שחור,רב שנתיים,,"30 סמ', ענפים עד 4 מ' מטפסים או משתרעים",בינונית-שופעת,"סלסילה תלויה, כיסוי שטח, משתפל מעבר לקיר או גדר",שמש ישירה  הצללה חלקית,,0,https://www.veredcarmel.com/wp-content/uploads/2020/08/%D7%9C%D7%99%D7%A4%D7%95%D7%A4%D7%99%D7%AA-%D7%94%D7%91%D7%98%D7%98%D7%94-%D7%A2%D7%9C%D7%99%D7%9D-%D7%A1%D7%92%D7%95%D7%9C-%D7%99%D7%A8%D7%95%D7%A7-1200x800.jpg,,,
גרניום זקוף ,רב שנתיים,,עד 1 מ',בינונית ,"עציץ, גינה","שמש, צל חלקי",,4,https://cdn.store.link/products/galednp/4q8skl-20180422_120617%20%20%D7%90%20%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%96%D7%A7%D7%95%D7%A3%20%D7%A9%D7%9C%D7%A0%D7%95.jpg?versionId=5aZtqKIz0Fa6sCDFfSWqb16cI8IfGblO,,,
גרניום זוחל,רב שנתיים,,"עד 40 סמ', ענפים זוחלים עד 70 סמ'",בינונית,"עציץ, תליה","שמש, צל חלקי",,9,https://cdn.store.link/products/galednp/uvzjhk-1460654762356%20%D7%90%20%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%96%D7%95%D7%97%D7%9C.jpg?versionId=WqHf2.sEANCulRfWNterJ47Vd042xLyv,,,
